id,isbn,title,author,publisher,year,month,day,,,,que,category_id
132,"9780194416238","Inside Reading","Kent Richmond","",2009,1,1,,,,"QUEUE1",36
133,"9780194416283","Inside Reading Second Edition: 2: Student Book","Arline Burgmeier, Lawrence J. Zwier, Kent Richmond, Bruce Rubin","OUP Oxford",2012,3,3,,,,"QUEUE1",36
134,"9781111356422","Reading Explorer 5: Teacher's Guide","Nancy Douglas","",2011,5,5,,,,"QUEUE1",36
135,"9781111356002","Reading Explorer","Nancy Douglas, Helen Huntley, Bruce Rogers","Cengage Learning",2011,3,3,,,,"QUEUE1",36
136,"9781424029389","Reading Explorer","Nancy Douglas","HEINLE CENGAGE LEARNING",2009,4,4,,,,"QUEUE1",36
137,"9780132089036","More Reading Power 3","Linda Jeffries, Beatrice S. Mikulecky","Allyn & Bacon",2011,4,4,,,,"QUEUE1",36
138,"9780521534055","Reading Extra","Liz Driscoll","Cambridge University Press",2004,1,1,,,,"QUEUE1",36
139,"9781424029419","Reading explorer teachers guide 3.","","Heinle Cengage Learning",2010,4,4,,,,"QUEUE1",36
140,"9781285846927","Reading Explorer 4 Sb","Paul Macintyre","Heinle",2014,2,2,,,,"QUEUE1",36
141,"9781905085576","Delta Academic Objectives: Reading Skills Teachers Book","Emma Kuhles","Delta Publishing Company(IL)",2011,4,4,,,,"QUEUE1",36
142,"9781905085569","Delta Academic Objectives: Reading Skills","Louis Rogers","Delta Publishing Company(IL)",2011,5,5,,,,"QUEUE1",36
143,"9780521140706","Reading Techniques with Removable Key","Clare West","Cambridge University Press",2010,1,1,,,,"QUEUE1",36
144,"9781859647769","Skills in English","Terry Phillips, Anna Phillips","",2003,2,2,,,,"QUEUE1",36
145,"9781859647868","Reading: Level 2 Skills in English","Terry Phillips, Anna Phillips","Garnet Education",1999,2,2,,,,"QUEUE1",36
146,"9781859647820","Skills in English.","Terry Phillips.","Garnet Publishing",2005,6,6,,,,"QUEUE1",36
147,"9781859647967","Skills in English Reading - level 3","Terry Phillips.","Garnet Education",2005,5,5,,,,"QUEUE1",36
148,"9781859647721","Skills in English.","Terry Phillips.","Garnet Pub.",2004,4,4,,,,"QUEUE1",36
149,"9781859647929","Reading","Terry Phillips.","Garnet Education",2007,17,17,,,,"QUEUE1",36
150,"9781859647523","Skills in English","Terry Phillips","",2005,12,12,,,,"QUEUE1",36
151,"9781859648261","Reading (Level 1) Teacher Test Booklet","Terry Phillips","Garnet Education",,1,1,,,,"QUEUE1",36
152,"9781859647608","Reading (Level 3) Student Test Pack","Terry Phillips, Anna Phillips","Garnet Education",1999,16,16,,,,"QUEUE1",36
153,"9781859648070","Starting skills in English : reading and writing.","","Garnet Publishing",2005,2,2,,,,"QUEUE1",36
154,"9780230431942","Skillful Reading and Writing","Louis Rogers, Jennifer Wilkin","MacMillan",2013,1,1,,,,"QUEUE1",36
155,"9780618639465","Academic Literacy","Jill Lewis","Houghton Mifflin College Division",2006,1,1,,,,"QUEUE1",36
156,"9781107614093","Unlock : reading and writing skills.","Johanna Stirling","",2014,1,1,,,,"QUEUE1",36
157,"9781107614048","Unlock : reading and writing skills","Matt Firth","",2014,3,3,,,,"QUEUE1",36
158,"9781107614000","Unlock : reading and writing skills","Richard O'Neill","Cambridge Univ Pr",2014,1,1,,,,"QUEUE1",36
159,"9780230029149","Effective Reading","Amanda French, M.D., Chris Gough","MacMillan",2009,2,2,,,,"QUEUE1",36
160,"9780230029156","Effective Reading Pre-intermediate Student Book","Jackie McAvoy","",2009,3,3,,,,"QUEUE1",36
161,"9780230029163","Effective Reading Pre-intermediate Student Book","Scott Miles","",2010,1,1,,,,"QUEUE1",36
162,"9780230029170","Effective Reading","Amanda French, Peter Nicoll","",2010,2,2,,,,"QUEUE1",36
163,"9781908614384","English for Academic Study: Reading 2012 Edition","John Slaght","",2012,5,5,,,,"QUEUE1",36
164,"9780521213462","Practical Faster Reading","Gerald Mosback, Vivienne Mosback","Cambridge University Press",1976,1,1,,,,"QUEUE1",36
165,"9781111064341","Reading Explorer","Rebecca Tarver Chase, Becky Tarver Chase","HEINLE CENGAGE LEARNING",2010,1,1,,,,"QUEUE1",36
166,"9781424028894","Reading explorer 1 : teacher's guide","","Heinle Cengage Learning",2010,2,2,,,,"QUEUE1",36
167,"9781424006373","Reading explorer 1 : [student book]","","Heinle Cengage Learning",2009,3,3,"12/08/2015 12:52:30: 1 copies returned by Christine Hogan
10/08/2015 16:05:32: 1 copies borrowed by Christine Hogan
",,,"QUEUE1",36
168,"9781424029372","Reading explorer 2 : [student book]","Paul MacIntyre","Heinle Cengage Learning",2009,4,4,,,,"QUEUE1",36
169,"9781424029402","Reading explorer teachers guide 2","Paul MacIntyre, Nancy Hubley","Heinle Cengage Learning",2010,4,4,,,,"QUEUE1",36
170,"9781424029426","Reading explorer teacher's guide 4","Paul MacIntyre, Nancy Hubley","Heinle Cengage Learning",2010,1,1,,,,"QUEUE1",36
171,"9781424029396","Reading Explorer 4","Paul MacIntyre","HEINLE CENGAGE LEARNING",2009,1,1,,,,"QUEUE1",36
172,"9780131305489","Reading power : reading for pleasure, reading comprehension skills, thinking skills, reading faster","Beatrice S. Mikulecky, Linda Jeffries","Longman",2005,1,1,,,,"QUEUE1",36
173,"9780131189461","Reading power : reading for pleasure, comprehension skills, thinking skills, reading faster","Beatrice S. Mikulecky, Linda Jeffries","Pearson Education",2005,3,3,,,,"QUEUE1",36
174,"9781896942117","Practical readings 1","Anthony Bruton and Angeles Broca","Abax",2002,1,1,,,,"QUEUE1",36
175,"9780130611994","Reading power : reading for pleasure, comprehension skills, thinking skills, reading faster","Beatrice S. Mikulecky, Linda Jeffries","Pearson Education",2005,2,2,,,,"QUEUE1",36
176,"9780131840324","Reading power : reading for pleasure, comprehension skills, thinking skills, reading faster","Beatrice S. Mikulecky, Linda Jeffries","Pearson Education",2005,1,1,,,,"QUEUE1",36
177,"9780521346757","Reading 2","Simon Greenall, Diana Pye","Cambridge University Press",1991,1,1,,,,"QUEUE1",36
178,"9780521346733","Reading 3","Simon Greenall, Diana Pye","Cambridge University Press",1992,1,1,,,,"QUEUE1",36
179,"9780521438698","Reading 4","Simon Greenall, Diana Pye","Cambridge University Press",1993,2,2,,,,"QUEUE1",36
180,"9780175559770","Active reading : problem-solving activities for developing reading skills","Anthony Bruton and Angeles Broca","Nelson",1993,1,1,,,,"QUEUE1",36
181,"9780744582376","Bravo, Mr. William Shakespeare!","presented and illustrated by Marcia Williams","Walker Books",2000,1,1,,,,"QUEUE1",36
182,"9780194217163","Paths into poetry","Joanne Collie and Gillian Porter Ladousse","Oxford Univ. Press",1996,1,1,,,,"QUEUE1",36
183,"9781859645291","Past simple : learning English through history","David Ronder, Peter Thompson","Garnet Education",2012,7,7,,,,"QUEUE1",36
184,"9780194372794","Can you believe it? : stories and idioms from real life","Jann Huizenga","Oxford University Press",2000,2,2,,,,"QUEUE1",36
185,"9780194372756","Stories and idioms from real life","Jann Huizenga","Oxford University Press",1999,2,2,,,,"QUEUE1",36
186,"9781908614315","English for academic study","Joan McCormack and John Slaght","Garnet Education",2012,4,4,,,,"QUEUE1",36
187,"9781908614308","Extended writing & research skills","Joan McCormack and John Slaght","Garnet Education",2012,2,2,,,,"QUEUE1",36
188,"9781859647479","English for academic study : extended writing & research skills : teacher's book","Joan McCormack and John Slaght","Garnet Publishing",2005,2,2,,,,"QUEUE1",36
189,"9781859647462","English for academic study : extended writing and research skills (course book)","Joan McCormack and John Slaght","Garnet Publishing Ltd",2005,2,2,,,,"QUEUE1",36
190,"9781859647028","Better writing","Richard Harrison","Garnet Education",2006,6,6,,,,"QUEUE1",36
191,"9781405086066","Academic writing : from paragraph to essay","Dorothy E. Zemach, Lisa A. Rumisek","Macmillan",2005,7,7,,,,"QUEUE1",36
192,"9781908614407","English for academic study","Anne Pallant","Garnet Education",2012,6,6,,,,"QUEUE1",36
193,"9781908614391","Writing","Anne Pallant","Garnet Education",2012,3,3,,,,"QUEUE1",36
194,"9781859645024","English for academic study : writing","Anne Pallant","Garnet Publishing",2009,6,6,,,,"QUEUE1",36
195,"9781782600701","English for Academic Study: Grammar for Writing","Anne Vicary","",2014,6,6,,,,"QUEUE1",36
196,"9781859644850","Writing course book","Anne Pallant","Garnet Education",2009,7,7,,,,"QUEUE1",36
197,"9781859645031","English for academic study","Joan McCormack and John Slaght","Garnet",2009,4,4,,,,"QUEUE1",36
198,"9781859644867","Extended writing & research skills","Joan McCormack and John Slaght","Garnet",2009,3,3,,,,"QUEUE1",36
199,"9780415384209","Academic writing : a handbook for international students","Stephen Bailey","Routledge",2006,6,6,,,,"QUEUE1",36
200,"9780415595810","Academic writing : a handbook for international students","Stephen Bailey","Routledge",2011,4,4,,,,"QUEUE1",36
201,"9781138778504","Academic Writing A Handbook for International Students","Stephen Bailey","Routledge",2015,6,6,,,,"QUEUE1",36
202,"9781111352097","Sourcework : academic writing from sources","Nancy E. Dollahite, Julie Haun","Heinle/Cengage Learning",2012,4,4,,,,"QUEUE1",36
203,"9780521657952","Bridges to academic writing","Ann O. Strauch","Univ. Press",2002,1,1,,,,"QUEUE1",36
204,"9780521140942","Summary and note-taking","Marian Barry","Cambridge University Press",2010,2,2,,,,"QUEUE1",44
205,"9781859647936","Skills in English","Terry Phillips","Garnet Publishing",2005,2,2,,,,"QUEUE1",44
206,"9781859647738","Skills in English","Terry Phillips and Anna Phillips","Garnet Publishing",2005,2,2,,,,"QUEUE1",44
207,"9781859647776","Skills in English Writing Level 1 (teacher's book)","Terry Phillips, Anna Phillips",,,2,2,,,,"QUEUE1",44
208,"9781859647837","Skills in English","Terry Phillips","Garnet Publishing",2005,2,2,,,,"QUEUE1",44
209,"9781859647875","Writing Level 2 (Teacher's Book)","Terry Phillips",,,2,2,,,,"QUEUE1",44
210,"9781859647974","Skills in English Writing - level 3","Terry Phillips","Garnet Education",2005,3,3,,,,"QUEUE1",44
211,"9781859647615","Writing : student test booklet","Terry Phillips and Anna Phillips","Garnet Education",2007,2,2,,,,"QUEUE1",44
212,"9781859647530","Skills in English","Terry Phillips","",2005,1,1,,,,"QUEUE1",44
213,"9781859648278","Skills in English Writing Level 1 Test Package (Test CD and Teacher's Guide)","Terry Phillips, Anna Phillips","",2005,1,1,,,,"QUEUE1",44
214,"9780472088560","Academic writing for graduate students : essential tasks and skills","John M. Swales and Christine B. Feak","Univ. of Michigan Press",2004,3,3,,,,"QUEUE1",44
215,"9780472088577","Commentary for academic writing for graduate students : essential tasks and skills","John M. Swales and Christine B. Feak","University of Michigan Press",2006,1,1,,,,"QUEUE1",44
216,"9781446210918","Academic writing and grammar for students","Alex Osmond","SAGE",2013,4,4,,,,"QUEUE1",44
217,"9780132912747","Longman academic writing series 5 : essays to research papers","Alan Meyers","",2014,1,1,,,,"QUEUE1",44
218,"9780132915694","Longman Academic Writing Series, Level 4 : Essays","Alice Oshima, Ann Hogue with Lara Ravitch","Longman",2014,1,1,,,,"QUEUE1",44
219,"9780132915663","Longman Academic Writing Series. paragraphs to essays","Alice Oshima, Ann Hogue with Jane Curtis","Longman",2014,1,1,,,,"QUEUE1",44
220,"9780132912716","The Longman Academic Writing, Level 2 : Paragraphs","Ann Hogue with Jennifer Bixby","Pearson",2013,1,1,,,,"QUEUE1",44
221,"9781285750750","Great Writing: Pt. 5","Keith Folse, Tison Pugh","Heinle-Cengage ELT",2014,1,1,,,,"QUEUE1",44
222,"9781285750743","Great Writing: Pt. 4","Keith Folse, Elena Vestri Solomon, April Muchmore-Vokoun","Heinle-Cengage ELT",,2,2,,,,"QUEUE1",44
223,"9781285750736","Great writing 3","Keith Folse, Elena Solomon, David Clabeaux","",2014,3,3,,,,"QUEUE1",44
224,"9781285194929","From great paragraphs to great essays","Keith S. Folse, Elena Vestri Solomon and David Clabeaux","",2014,1,1,,,,"QUEUE1",44
225,"9781285750729","Great Writing: Pt. 2","Keith Folse, Elena Vestri Solomon, April Muchmore-Vokoun",,,1,1,,,,"QUEUE1",44
226,"9781424071135","Great writing 3 : from great paragraphs to great essays","Keith S. Folse, Elena Vestri Solomon, David Clabeaux","Heinle Cengage Learning",2010,1,1,,,,"QUEUE1",44
227,"9781424071128","Great writing 2 : great paragraphs","Keith S. Folse, April Muchmore-Vokoun, Elena Vestri Solomon","Heinle Cengage Learning",2010,1,1,,,,"QUEUE1",44
228,"9780618444168","Great sentences for great paragraphs : an introduction to basic sentences and paragraphs","Keith kS. Folse, April Muchmore-Vokoun and Elena Vestri Solomon","Heinle Cengage Learning",2005,1,1,,,,"QUEUE1",44
229,"9781859646557","50 steps to improving your academic writing : study book","Chris Sowton","Garnet Pub.",2012,5,5,,,,"QUEUE1",44
230,"9780312092146","Academic writing : exploring processes and strategies","Ilona Leki","St. Martin's Press",1995,1,1,,,,"QUEUE1",44
231,"9780131523593","Writing academic English","Alice Oshima ; Ann Hogue","Pearson Longman",2006,7,7,,,,"QUEUE1",44
232,"9780201340549","Writing academic English","Alice Oshima; Ann Hogue","Longman",1999,1,1,,,,"QUEUE1",44
233,"9780132410281","Introduction to academic writing","Alice Oshima, Ann Hogue","Pearson/Longman",2007,1,1,,,,"QUEUE1",44
234,"9780131933958","Introduction to academic writing : [student book]","Alice Oshima ; Ann Hogue","Pearson/Longman",2007,4,4,,,,"QUEUE1",44
235,"9780132414883","First steps in academic writing","Ann Hogue","Pearson Education",2008,1,1,,,,"QUEUE1",44
236,"9780201834109","First steps in academic writing","Ann Hogue","Longman",2003,1,1,,,,"QUEUE1",44
237,"9780131995574","Fundamentals of academic writing","Linda Butler","Pearson Education",2010,6,6,,,,"QUEUE1",44
238,"9780201695090","Introduction to academic writing","Alice Oshima; Ann Hogue","Longman",1997,3,3,,,,"QUEUE1",44
239,"9781873576564","A handbook for deterring plagiarism in higher education","Jude Carroll","Oxford Centre for Staff and Learning Development",2002,1,1,,,,"QUEUE1",44
240,"9780130309730","The essentials of English : a writer's handbook","Ann Hogue","Longman",2002,1,1,,,,"QUEUE1",44
241,"9781864083743","Exploring academic English : a workbook for student essay writing","Jennifer Thurstun and Christopher N. Candlin","National Centre for English Language Teaching and Research, Macquarie Univ.",1998,2,2,,,,"QUEUE1",44
242,"9780582400191","Academic writing course : study skills in english","R. R. Jordan","Longman",1999,8,8,,,,"QUEUE1",44
243,"9780175566242","Academic writing course","R.R. Jordan","Addison Wesley Longman",1996,1,1,,,,"QUEUE1",44
244,"9781873576496","Scientific & technical writing","Kate Williams","Oxford Centre for Staff Development",1996,1,1,,,,"QUEUE1",44
245,"9781873576410","Tutor manual","Kate Williams and Graham Gibbs","Oxford Centre for Staff Development",1995,1,1,,,,"QUEUE1",44
246,"9781873576373","Using data","Kate Williams","Oxford Centre for Staff Development",1996,1,1,,,,"QUEUE1",44
247,"9780521534963","Study writing : a course in writing skills for academic purposes","Liz Hamp-Lyons, Ben Heasley","Cambridge University Press",2006,4,4,,,,"QUEUE1",44
248,"9780007507108","Writing : learn to write better academic essays","Els Van Geyte","HarperCollins Publishers",2013,5,4,"22/07/2015 14:51:31: 1 copies borrowed by Anastasios Asimakopoulos
",,,"QUEUE1",44
249,"9780838409855","Writing clearly : an editing guide","Janet Lane and Ellen Lange","Heinle & Heinle",2000,4,4,,,,"QUEUE1",44
250,"9780838409497","Writing clearly : an editing guide","Janet Lane and Ellen Lange","Heinle & Heinle",1999,2,2,,,,"QUEUE1",44
251,"9780230421943","Writing research papers : from essay to research paper","Dorothy E Zemach, Daniel Broudy, Chris Valvona","Macmillan",2011,8,8,,,,"QUEUE1",44
252,"9780194309240","The essay","Jason Davis; Rhonda Liss","Oxford Univ. Press",2006,1,1,,,,"QUEUE1",44
253,"9781905085590","Writing skills : teacher's book","Emma Kuhles","Delta Publishing",2011,3,3,,,,"QUEUE1",44
254,"9781905085583","Writing skills","Louis Rogers","Delta Publishing",2011,3,3,,,,"QUEUE1",44
255,"9781859647448","Writing","John Slaght with Anne Pallant","Garnet",2005,2,2,,,,"QUEUE1",44
256,"9781873576403","Writing essays","Kate Williams","Oxford Centre for Staff Development",1999,1,1,,,,"QUEUE1",44
257,"9780333988534","College writing : from paragraph to essay","Dorothy E. Zemach & Lisa A. Rumisek","Macmillan Education",2003,1,1,,,,"QUEUE1",44
258,"9780335196425","Writing at university : a guide for students","Phyllis Creme and Mary R. Lea","Open University Press",1998,1,1,,,,"QUEUE1",44
259,"9780130178565","Study skills for academic writing","John Trzeciak and S.E. Mackay","Pearson Education",2000,1,1,,,,"QUEUE1",44
260,"9780273721710","Successful academic writing","Andy Gillet, Angela Hammond and Mary Martala-Lockett","Pearson Education",2009,4,3,"25/06/2015 17:20:11: 1 copies borrowed by Sam Booth
",,,"QUEUE1",44
261,"9780521657822","Transitions : an interactive reading, writing, and grammar text","Linda Bates","Cambridge University Press",1998,1,1,,,,"QUEUE1",44
262,"9781405095860","Writing in paragraphs : FROM SENTENCE TO PARAGRAPH","Dorothy E. Zemach ; Carlos Islam","Macmillan Elt",2006,2,2,,,,"QUEUE1",44
263,"9781877371134","Write on track : a guide to academic writing","Mary Thoreau","Pearson Education New Zealand",2005,1,1,,,,"QUEUE1",44
264,"9780130374257","Prentice Hall handbook for writers","Melinda G. Kramer, Glenn Leggett, C. David Mead","Prentice Hall",1995,1,1,,,,"QUEUE1",44
265,"9780007469420","Work on your handwriting","Jenny Sikl�s","Collins",2012,2,2,,,,"QUEUE1",44
266,"9780007497768","Writing","Kirsten Campbell-Howes","Collins",2013,3,3,,,,"QUEUE1",44
267,"9780007460618","Writing","Kirsten Campbell-Howes, Clare Dignall","Collins",2012,3,3,,,,"QUEUE1",44
268,"9780007541324","Writing","Genevieve White","Collins",2014,3,3,,,,"QUEUE1",44
269,"9781873576458","Making presentations","David Baume and Carole Baume","Oxford Centre for Staff Development",1996,1,1,,,,"QUEUE1",44
270,"9781842168790","Successful writing : upper-intermediate","Virginia Evans","Express Publishing",2003,2,1,"16/07/2015 09:20:08: 1 copies borrowed by Joanna Sutcliffe
",,,"QUEUE1",44
271,"9780131363304","Ready to write 1 : a first composition text","Karen Blanchard, Christine Root","Pearson Education",2010,2,2,,,,"QUEUE1",44
272,"9780131363328","Ready to write 2 : perfecting paragraphs","Karen Blanchard, Christine Root","Pearson Education",2010,1,0,"16/07/2015 09:20:08: 1 copies borrowed by Joanna Sutcliffe
",,,"QUEUE1",44
273,"9781842168783","Successful writing","Virginia Evans","Express Publishing",2003,2,2,,,,"QUEUE1",44
274,"9781903128510","Successful writing : intermediate","Virginia Evans","Express",2000,2,2,,,,"QUEUE1",44
275,"9781903128503","Successful writing","Virginia Evans","Express Publishing",2000,2,2,,,,"QUEUE1",44
276,"9780521479714","Writing for advanced learners of English","Fran�oise Grellet","Cambridge University Press",1996,1,1,,,,"QUEUE1",44
277,"9780521532877","Writing extra : a resource book of multi-level skills activities","Graham Palmer","Cambridge Univ. Press",2004,1,0,"16/07/2015 09:20:08: 1 copies borrowed by Joanna Sutcliffe
",,,"QUEUE1",44
278,"9780194741675","Headway academic skills : listening, speaking, and study skills","Sue Hobbs","Oxford University Press",2011,9,9,,,,"QUEUE1",44
279,"9780194309684","Lecture ready : strategies for academic listening, note-taking, and discussion","[Peg Sarosy ...] [ser. eds.]","Oxford Univ. Press",2006,3,3,,,,"QUEUE1",31
280,"9780194417150","Lecture ready : strategies for academic listening, note-taking, and discussion","[Peg Sarosy ...] [ser. eds.]","Oxford University Press",2007,6,6,,,,"QUEUE1",31
281,"9780139194405","Learn to listen, listen to learn : academic listening and note-taking","Roni S. Lebauer","Longman",2000,2,2,,,,"QUEUE1",31
282,"9780138140014","Learn to listen, listen to learn 1 : academic listening and note-taking","Roni S. Lebauer","Pearson Education",2010,2,2,,,,"QUEUE1",31
283,"9780139194320","Learn to listen, listen to learn : academic listening and note-taking","Roni S. Lebauer","Longman",2000,2,2,,,,"QUEUE1",31
284,"9780194309714","Lecture ready : strategies for academic listening, note-taking, and discussion","ser. eds. Peg Sarosy ..","Oxford Univ. Press",2007,2,2,,,,"QUEUE1",31
285,"9780194417297","Lecture ready. strategies for academic listening and speaking","Laurie Frazier, Shalle Leeming","Oxford University Press",2013,1,1,,,,"QUEUE1",31
286,"9780007507122","Lectures","Fiona Aish, Jo Tomlinson","Collins",2013,4,4,,,,"QUEUE1",31
287,"9781107634619","Unlock : listening and speaking skills","Lewis Lansford","Cambridge Univ Pr",2014,2,2,,,,"QUEUE1",31
288,"9781107687288","Unlock : listening and speaking skills","Sabina Ostrowska","Cambridge Univ Pr",2014,1,1,,,,"QUEUE1",31
289,"9781859647707","Skills in English","Terry Phillips","Garnet Publishing",2005,2,2,,,,"QUEUE1",31
290,"9781859647745","Listening: Level 1 (Skills in English)","Terry Phillips",,,2,2,,,,"QUEUE1",31
291,"9781859647806","Skills in English listening","Terry Phillips, Anna Phillips","Garnet",2004,1,1,,,,"QUEUE1",31
292,"9781859647844","Skills in English","Terry Phillips, Anna Phillips","Garnet Education",2004,1,1,,,,"QUEUE1",31
293,"9781859647943","Skills in english - listening 3 sb","Terry Phillips, Anna Phillips","Garnet Education",2004,3,3,,,,"QUEUE1",31
294,"9781859647905","Skills in english - listening 3 sb","Terry Phillips, Anna Phillips","Garnet Education",2004,3,3,,,,"QUEUE1",31
295,"9781859644829","Listening","Colin Campbell and Jonathan Smith","Garnet Education",2009,5,5,,,,"QUEUE1",31
296,"9781859644997","English for academic study : listening","Colin Campbell and Jonathan Smith","Garnet",2007,1,1,,,,"QUEUE1",31
297,"9781908614339","English for academic study : listening : course book","Colin Campbell and Jonathan Smith","Garnet Publishing",2012,4,4,,,,"QUEUE1",31
298,"9781908614346","English for academic study : listening : teacher's book","Colin Campbell and Jonathan Smith","Garnet",2012,4,4,,,,"QUEUE1",31
299,"9780521533874","Study listening : a course in listening to lectures and note-taking","Tony Lynch","University Press",2004,4,4,,,,"QUEUE1",31
300,"9780136133360","Northstar. listening and speaking : teacher's manual and achievement tests","authors, Polly Merdinger, Laurie Barton","Pearson Education",2008,2,2,,,,"QUEUE1",31
301,"9780136133353","Northstar 1 : listening and speaking","authors, Polly Merdinger, Laurie Barton","Pearson Education",2008,2,2,,,,"QUEUE1",31
302,"9780132409513","Northstar. listening and speaking","authors, Laurie Frazier, Robin Mills","Pearson Longman",2009,2,2,,,,"QUEUE1",31
303,"9780132409889","Northstar : listening and speaking","Laurie Frazier, Robin Mills","Pearson Education",2009,2,2,,,,"QUEUE1",31
304,"9780136133131","NorthStar 3","authors, Helen S. Sol�rzano, Jennifer P.L. Schmidt ; series editors, Frances Boyd, Carol Numrich","Pearson/Longman",2009,2,1,"21/07/2015 11:12:07: 1 copies borrowed by Sam Elkin
13/07/2015 13:18:34: 1 copies returned by Sam Elkin
07/07/2015 16:51:00: 1 copies borrowed by Sam Elkin
",,,"QUEUE1",31
